area,occupation,year,workers
KAZ,Software development and technology,2024,366.39
KAZ,Writing and translation,2017,18.17
KAZ,Writing and translation,2018,35.17
KAZ,Writing and translation,2019,51.94
KAZ,Writing and translation,2020,6.69
KAZ,Writing and translation,2021,19.58
KAZ,Writing and translation,2022,34.56
KAZ,Writing and translation,2023,3.97
KAZ,Writing and translation,2024,16.16
KEN,Clerical and data entry,2017,99.43
KEN,Clerical and data entry,2018,73.88
KEN,Clerical and data entry,2019,140.75
KEN,Clerical and data entry,2020,231.71
KEN,Clerical and data entry,2021,195.41
KEN,Clerical and data entry,2022,269.77
KEN,Clerical and data entry,2023,95.5
KEN,Clerical and data entry,2024,122.85
KEN,Creative and multimedia,2017,205.12
KEN,Creative and multimedia,2018,214.45
KEN,Creative and multimedia,2019,122.27
KEN,Creative and multimedia,2020,89.98
KEN,Creative and multimedia,2021,120.25
KEN,Creative and multimedia,2022,177.75
KEN,Creative and multimedia,2023,210.82
KEN,Creative and multimedia,2024,153.16
KEN,Professional services,2017,156.54
KEN,Professional services,2018,203.79
KEN,Professional services,2019,208.03
KEN,Professional services,2020,153.25
KEN,Professional services,2021,83.9
KEN,Professional services,2022,63.87
KEN,Professional services,2023,68.78
KEN,Professional services,2024,61.54
KEN,Sales and marketing support,2017,103.64
KEN,Sales and marketing support,2018,159.33
KEN,Sales and marketing support,2019,156.22
KEN,Sales and marketing support,2020,70.24
KEN,Sales and marketing support,2021,88.61
KEN,Sales and marketing support,2022,126.61
KEN,Sales and marketing support,2023,71.26
KEN,Sales and marketing support,2024,109.29
KEN,Software development and technology,2017,246.61
KEN,Software development and technology,2018,268.12
KEN,Software development and technology,2019,242.5
KEN,Software development and technology,2020,327.11
KEN,Software development and technology,2021,504.1
KEN,Software development and technology,2022,597.03
KEN,Software development and technology,2023,694.54
KEN,Software development and technology,2024,734.38
KEN,Writing and translation,2017,799.37
KEN,Writing and translation,2018,1012.78
KEN,Writing and translation,2019,2224.59
KEN,Writing and translation,2020,3682.79
KEN,Writing and translation,2021,3262.27
KEN,Writing and translation,2022,2175.03
KEN,Writing and translation,2023,1187.98
KEN,Writing and translation,2024,1122.64
KGZ,Creative and multimedia,2022,16.75
KGZ,Creative and multimedia,2023,15.42
KGZ,Creative and multimedia,2024,6.16
KGZ,Professional services,2022,0.1
KGZ,Professional services,2023,0.49
KGZ,Professional services,2024,0.1
KGZ,Sales and marketing support,2023,0.51
KGZ,Sales and marketing support,2024,20.64
KGZ,Software development and technology,2019,16.51
KGZ,Software development and technology,2020,17.42
KGZ,Software development and technology,2021,31.02
KGZ,Software development and technology,2022,47.98
KGZ,Software development and technology,2023,21.49
KGZ,Software development and technology,2024,14.86
KGZ,Writing and translation,2019,14.22
KGZ,Writing and translation,2022,29.67
KGZ,Writing and translation,2023,8.66
KGZ,Writing and translation,2024,12.0
KHM,Clerical and data entry,2019,27.66
KHM,Clerical and data entry,2020,129.39
KHM,Clerical and data entry,2021,16.46
KHM,Clerical and data entry,2022,16.38
KHM,Creative and multimedia,2017,23.92
KHM,Creative and multimedia,2018,22.46
KHM,Creative and multimedia,2019,73.17
KHM,Creative and multimedia,2020,75.97
KHM,Creative and multimedia,2021,9.24
KHM,Creative and multimedia,2022,27.18
KHM,Creative and multimedia,2023,2.44
KHM,Creative and multimedia,2024,1.31
KHM,Professional services,2023,0.74
KHM,Professional services,2024,0.31
KHM,Sales and marketing support,2018,17.88
KHM,Sales and marketing support,2019,19.77
KHM,Sales and marketing support,2023,0.62
KHM,Sales and marketing support,2024,0.3
KHM,Software development and technology,2017,19.93
KHM,Software development and technology,2018,57.99
KHM,Software development and technology,2019,174.89
KHM,Software development and technology,2020,354.69
KHM,Software development and technology,2021,120.46
KHM,Software development and technology,2022,107.06
KHM,Software development and technology,2023,65.61
KHM,Software development and technology,2024,14.5
KHM,Writing and translation,2019,17.96
KHM,Writing and translation,2020,12.6
KHM,Writing and translation,2022,9.41
KHM,Writing and translation,2023,9.39
KHM,Writing and translation,2024,0.27
KNA,Clerical and data entry,2019,3.07
KNA,Clerical and data entry,2020,2.64
KNA,Clerical and data entry,2021,4.22
KNA,Clerical and data entry,2022,6.86
KNA,Clerical and data entry,2023,6.55
KOR,Clerical and data entry,2018,14.74
KOR,Clerical and data entry,2021,24.1
KOR,Clerical and data entry,2022,26.09
KOR,Clerical and data entry,2023,0.08
KOR,Clerical and data entry,2024,0.04
KOR,Creative and multimedia,2017,32.46
KOR,Creative and multimedia,2018,16.16
KOR,Creative and multimedia,2019,27.02
KOR,Creative and multimedia,2020,6.09
KOR,Creative and multimedia,2021,23.34
KOR,Creative and multimedia,2022,6.09
KOR,Creative and multimedia,2023,2.54
KOR,Creative and multimedia,2024,0.62
KOR,Professional services,2017,18.28
KOR,Professional services,2018,39.91
KOR,Professional services,2019,39.74
KOR,Professional services,2020,5.52
KOR,Professional services,2022,0.65
KOR,Professional services,2023,0.55
KOR,Professional services,2024,0.29
KOR,Sales and marketing support,2017,13.36
KOR,Sales and marketing support,2018,18.28
KOR,Sales and marketing support,2019,17.05
KOR,Sales and marketing support,2020,6.32
KOR,Sales and marketing support,2022,3.42
KOR,Sales and marketing support,2023,1.55
KOR,Sales and marketing support,2024,0.36
KOR,Software development and technology,2017,21.26
KOR,Software development and technology,2018,35.97
KOR,Software development and technology,2019,37.03
KOR,Software development and technology,2020,59.35
KOR,Software development and technology,2021,88.14
KOR,Software development and technology,2022,56.8
KOR,Software development and technology,2023,14.49
KOR,Software development and technology,2024,10.31
KOR,Writing and translation,2017,24.18
KOR,Writing and translation,2018,19.09
KOR,Writing and translation,2019,14.94
KOR,Writing and translation,2020,24.19
KOR,Writing and translation,2021,14.51
KOR,Writing and translation,2022,11.66
KOR,Writing and translation,2023,8.72
KOR,Writing and translation,2024,8.61
KWT,Clerical and data entry,2017,12.37
KWT,Clerical and data entry,2019,4.37
KWT,Clerical and data entry,2020,0.4
KWT,Clerical and data entry,2021,0.77
KWT,Creative and multimedia,2017,18.26
KWT,Creative and multimedia,2018,23.73
KWT,Creative and multimedia,2019,52.56
KWT,Creative and multimedia,2020,138.23
KWT,Creative and multimedia,2021,92.62
KWT,Creative and multimedia,2022,80.4
KWT,Creative and multimedia,2023,3.4
KWT,Creative and multimedia,2024,4.7
KWT,Professional services,2017,13.84
KWT,Professional services,2019,17.92
KWT,Professional services,2020,1.04
KWT,Professional services,2021,23.16
KWT,Professional services,2022,15.61
KWT,Professional services,2023,0.13
KWT,Professional services,2024,0.3
KWT,Sales and marketing support,2018,16.88
KWT,Sales and marketing support,2020,7.96
KWT,Sales and marketing support,2021,11.0
KWT,Sales and marketing support,2022,12.64
KWT,Sales and marketing support,2023,2.17
KWT,Sales and marketing support,2024,0.2
KWT,Software development and technology,2018,1.0
KWT,Software development and technology,2019,94.99
KWT,Software development and technology,2020,71.33
KWT,Software development and technology,2021,17.34
KWT,Software development and technology,2022,23.86
KWT,Software development and technology,2023,14.11
KWT,Software development and technology,2024,8.34
KWT,Writing and translation,2017,9.91
KWT,Writing and translation,2018,30.63
KWT,Writing and translation,2019,17.22
KWT,Writing and translation,2020,10.48
KWT,Writing and translation,2021,22.25
KWT,Writing and translation,2022,15.47
KWT,Writing and translation,2023,2.59
KWT,Writing and translation,2024,2.68
LAO,Clerical and data entry,2022,14.45
LAO,Creative and multimedia,2021,13.18
LAO,Software development and technology,2017,13.84
LAO,Software development and technology,2019,1209.38
LAO,Software development and technology,2020,512.51
LAO,Software development and technology,2021,127.49
LAO,Software development and technology,2022,20.5
LAO,Software development and technology,2023,20.14
LAO,Software development and technology,2024,10.5
LAO,Writing and translation,2019,21.8
LAO,Writing and translation,2022,15.45
LAO,Writing and translation,2023,0.19
LAO,Writing and translation,2024,0.1
LBN,Clerical and data entry,2017,20.11
LBN,Clerical and data entry,2018,18.98
LBN,Clerical and data entry,2020,27.03
LBN,Clerical and data entry,2021,124.02
LBN,Clerical and data entry,2022,83.71
LBN,Clerical and data entry,2023,19.75
LBN,Clerical and data entry,2024,3.63
LBN,Creative and multimedia,2017,321.84
LBN,Creative and multimedia,2018,661.6
LBN,Creative and multimedia,2019,531.93
LBN,Creative and multimedia,2020,189.25
LBN,Creative and multimedia,2021,335.73
LBN,Creative and multimedia,2022,219.57
LBN,Creative and multimedia,2023,54.67
LBN,Creative and multimedia,2024,58.12
LBN,Professional services,2017,35.02
LBN,Professional services,2018,76.7
LBN,Professional services,2019,93.47
LBN,Professional services,2020,34.1
LBN,Professional services,2022,1.78
LBN,Professional services,2023,0.54
LBN,Professional services,2024,0.34
LBN,Sales and marketing support,2017,258.06
LBN,Sales and marketing support,2018,431.48
LBN,Sales and marketing support,2019,406.48
LBN,Sales and marketing support,2020,113.15
LBN,Sales and marketing support,2021,225.44
LBN,Sales and marketing support,2022,163.69
LBN,Sales and marketing support,2023,3.58
LBN,Sales and marketing support,2024,1.71
LBN,Software development and technology,2017,247.39
LBN,Software development and technology,2018,499.55
LBN,Software development and technology,2019,381.88
LBN,Software development and technology,2020,241.52
LBN,Software development and technology,2021,360.65
LBN,Software development and technology,2022,275.91
LBN,Software development and technology,2023,114.78
LBN,Software development and technology,2024,58.68
LBN,Writing and translation,2017,64.02
LBN,Writing and translation,2018,104.94
LBN,Writing and translation,2019,61.41
LBN,Writing and translation,2020,22.99
LBN,Writing and translation,2021,38.28
LBN,Writing and translation,2022,46.97
LBN,Writing and translation,2023,1.11
LBN,Writing and translation,2024,12.15
LBR,Professional services,2023,0.66
LBR,Writing and translation,2022,7.53
LBY,Clerical and data entry,2018,1.0
LBY,Clerical and data entry,2022,14.93
LBY,Clerical and data entry,2023,4.85
LBY,Clerical and data entry,2024,5.79
LBY,Creative and multimedia,2019,219.62
LBY,Creative and multimedia,2020,61.89
LBY,Creative and multimedia,2021,1.75
LBY,Creative and multimedia,2022,136.69
LBY,Creative and multimedia,2023,52.97
LBY,Creative and multimedia,2024,3.55
LBY,Professional services,2017,18.08
LBY,Professional services,2018,5.5
LBY,Professional services,2022,1.78
LBY,Professional services,2023,0.55
LBY,Professional services,2024,0.26
LBY,Sales and marketing support,2017,20.95
LBY,Sales and marketing support,2022,0.1
LBY,Sales and marketing support,2023,0.21
LBY,Sales and marketing support,2024,0.36
LBY,Software development and technology,2017,16.05
LBY,Software development and technology,2018,12.5
LBY,Software development and technology,2021,13.18
LBY,Software development and technology,2022,16.2
LBY,Software development and technology,2023,12.4
LBY,Software development and technology,2024,0.97
LBY,Writing and translation,2017,15.04
LBY,Writing and translation,2018,31.58
LBY,Writing and translation,2019,19.27
LBY,Writing and translation,2023,0.27
LBY,Writing and translation,2024,0.88
LCA,Clerical and data entry,2019,11.47
LCA,Clerical and data entry,2020,12.6
LCA,Clerical and data entry,2021,13.86
LCA,Clerical and data entry,2022,14.22
LCA,Clerical and data entry,2023,9.69
LCA,Clerical and data entry,2024,8.98
LCA,Creative and multimedia,2020,5.09
LCA,Creative and multimedia,2021,3.54
LCA,Creative and multimedia,2022,21.83
LCA,Creative and multimedia,2023,13.96
LCA,Professional services,2019,4.03
LCA,Professional services,2020,5.45
LCA,Professional services,2021,5.57
LCA,Professional services,2022,6.69
LCA,Professional services,2023,2.55
LCA,Software development and technology,2017,18.77
LCA,Software development and technology,2018,15.26
LCA,Writing and translation,2021,5.24
LCA,Writing and translation,2022,7.04
LCA,Writing and translation,2023,6.55
LCA,Writing and translation,2024,0.94
LKA,Clerical and data entry,2017,153.78
LKA,Clerical and data entry,2018,90.48
LKA,Clerical and data entry,2019,90.56
LKA,Clerical and data entry,2020,175.17
LKA,Clerical and data entry,2021,266.87
LKA,Clerical and data entry,2022,265.49
LKA,Clerical and data entry,2023,117.49
LKA,Clerical and data entry,2024,99.15
LKA,Creative and multimedia,2017,738.05
LKA,Creative and multimedia,2018,861.69
LKA,Creative and multimedia,2019,1722.33
LKA,Creative and multimedia,2020,3054.89
LKA,Creative and multimedia,2021,2300.54
LKA,Creative and multimedia,2022,2745.97
LKA,Creative and multimedia,2023,2373.02
LKA,Creative and multimedia,2024,2085.49
LKA,Professional services,2017,100.0
LKA,Professional services,2018,106.57
LKA,Professional services,2019,128.45
LKA,Professional services,2020,58.91
LKA,Professional services,2021,13.6
LKA,Professional services,2022,35.52
LKA,Professional services,2023,15.79
LKA,Professional services,2024,15.31
LKA,Sales and marketing support,2017,227.65
LKA,Sales and marketing support,2018,640.91
LKA,Sales and marketing support,2019,377.92
LKA,Sales and marketing support,2020,200.99
LKA,Sales and marketing support,2021,234.2
LKA,Sales and marketing support,2022,188.41
LKA,Sales and marketing support,2023,15.86
LKA,Sales and marketing support,2024,12.67
LKA,Software development and technology,2017,314.71
LKA,Software development and technology,2018,393.14
LKA,Software development and technology,2019,657.56
LKA,Software development and technology,2020,1208.03
LKA,Software development and technology,2021,1389.83
LKA,Software development and technology,2022,1345.62
LKA,Software development and technology,2023,953.14
LKA,Software development and technology,2024,885.86
LKA,Writing and translation,2017,46.08
LKA,Writing and translation,2018,56.45
LKA,Writing and translation,2019,37.19
LKA,Writing and translation,2020,63.2
LKA,Writing and translation,2021,63.63
LKA,Writing and translation,2022,136.84
LKA,Writing and translation,2023,86.27
LKA,Writing and translation,2024,99.93
LSO,Creative and multimedia,2022,7.01
LSO,Creative and multimedia,2023,0.1
LSO,Creative and multimedia,2024,0.27
LSO,Professional services,2023,0.1
LSO,Sales and marketing support,2023,0.1
LSO,Writing and translation,2024,0.5
LTU,Clerical and data entry,2020,5.14
LTU,Clerical and data entry,2021,4.6
LTU,Clerical and data entry,2023,6.16
LTU,Creative and multimedia,2017,120.65
LTU,Creative and multimedia,2018,119.65
LTU,Creative and multimedia,2019,177.29
LTU,Creative and multimedia,2020,160.76
LTU,Creative and multimedia,2021,31.2
LTU,Creative and multimedia,2022,22.85
LTU,Creative and multimedia,2023,13.3
LTU,Creative and multimedia,2024,10.2
LTU,Professional services,2018,14.88
LTU,Professional services,2019,16.01
LTU,Professional services,2020,5.12
LTU,Professional services,2021,4.6
LTU,Professional services,2023,0.13
LTU,Professional services,2024,0.2
LTU,Sales and marketing support,2017,20.19
LTU,Sales and marketing support,2018,20.56
LTU,Sales and marketing support,2019,34.61
LTU,Sales and marketing support,2020,8.01
LTU,Sales and marketing support,2021,6.48
LTU,Sales and marketing support,2022,1.29
LTU,Sales and marketing support,2023,0.64
LTU,Software development and technology,2017,30.15
LTU,Software development and technology,2018,43.72
LTU,Software development and technology,2019,63.31
LTU,Software development and technology,2020,19.53
LTU,Software development and technology,2021,20.02
LTU,Software development and technology,2022,8.81
LTU,Software development and technology,2023,30.91
LTU,Software development and technology,2024,33.93
LTU,Writing and translation,2018,41.24
LTU,Writing and translation,2019,10.41
LTU,Writing and translation,2021,7.38
LTU,Writing and translation,2022,3.32
LTU,Writing and translation,2023,1.06
LTU,Writing and translation,2024,0.34
LUX,Clerical and data entry,2020,3.31
LUX,Clerical and data entry,2021,17.83
LUX,Clerical and data entry,2022,10.01
LUX,Creative and multimedia,2020,41.91
LUX,Creative and multimedia,2021,24.74
LUX,Creative and multimedia,2022,6.71
LUX,Creative and multimedia,2023,1.73
LUX,Creative and multimedia,2024,0.96
LUX,Professional services,2022,1.1
LUX,Professional services,2023,1.0
LUX,Professional services,2024,0.58
LUX,Sales and marketing support,2018,1.0
LUX,Sales and marketing support,2020,1.2
LUX,Sales and marketing support,2021,5.87
LUX,Software development and technology,2017,20.8
LUX,Software development and technology,2018,24.85
LUX,Software development and technology,2019,8.5
LUX,Software development and technology,2020,2.47
LUX,Software development and technology,2021,9.75
LUX,Software development and technology,2022,7.18
LUX,Software development and technology,2023,7.49
LUX,Software development and technology,2024,6.38
LUX,Writing and translation,2021,8.0
LUX,Writing and translation,2022,1.28
LUX,Writing and translation,2023,0.3
LVA,Clerical and data entry,2018,7.88
LVA,Clerical and data entry,2019,5.79
LVA,Clerical and data entry,2020,5.46
LVA,Clerical and data entry,2021,6.03
LVA,Clerical and data entry,2022,7.06
LVA,Clerical and data entry,2023,6.55
LVA,Creative and multimedia,2017,82.72
LVA,Creative and multimedia,2018,51.71
LVA,Creative and multimedia,2019,61.34
LVA,Creative and multimedia,2020,44.95
LVA,Creative and multimedia,2021,27.52
LVA,Creative and multimedia,2022,22.98
LVA,Creative and multimedia,2023,47.5
LVA,Creative and multimedia,2024,57.22
LVA,Professional services,2018,93.27
LVA,Professional services,2019,101.55
LVA,Professional services,2020,5.3
LVA,Professional services,2021,5.05
LVA,Professional services,2022,7.33
LVA,Professional services,2023,6.55
LVA,Sales and marketing support,2017,9.38
LVA,Sales and marketing support,2018,15.11
LVA,Sales and marketing support,2019,11.33
LVA,Sales and marketing support,2020,2.24
LVA,Sales and marketing support,2022,0.32
LVA,Sales and marketing support,2023,0.91
LVA,Sales and marketing support,2024,1.41
LVA,Software development and technology,2017,58.26
LVA,Software development and technology,2018,126.85
LVA,Software development and technology,2019,149.43
LVA,Software development and technology,2020,37.69
LVA,Software development and technology,2021,21.45
LVA,Software development and technology,2022,230.43
LVA,Software development and technology,2023,174.22
LVA,Software development and technology,2024,170.33
LVA,Writing and translation,2017,41.92
LVA,Writing and translation,2018,42.36
LVA,Writing and translation,2019,22.74
LVA,Writing and translation,2020,5.88
LVA,Writing and translation,2021,5.39
LVA,Writing and translation,2022,1.88
LVA,Writing and translation,2023,1.92
LVA,Writing and translation,2024,1.98
MAC,Creative and multimedia,2022,30.75
MAC,Creative and multimedia,2023,68.8
MAC,Writing and translation,2024,0.1
MAR,Clerical and data entry,2017,13.84
MAR,Clerical and data entry,2018,12.88
MAR,Clerical and data entry,2019,33.25
MAR,Clerical and data entry,2020,9.73
MAR,Clerical and data entry,2021,6.21
MAR,Clerical and data entry,2022,21.4
MAR,Clerical and data entry,2023,11.32
MAR,Clerical and data entry,2024,9.3
MAR,Creative and multimedia,2017,94.35
MAR,Creative and multimedia,2018,210.77
MAR,Creative and multimedia,2019,390.73
MAR,Creative and multimedia,2020,478.36
MAR,Creative and multimedia,2021,837.61
MAR,Creative and multimedia,2022,972.71
MAR,Creative and multimedia,2023,858.02
MAR,Creative and multimedia,2024,867.46
MAR,Professional services,2017,11.53
MAR,Professional services,2018,73.15
MAR,Professional services,2019,50.57
MAR,Professional services,2020,11.05
MAR,Professional services,2021,15.48
MAR,Professional services,2022,39.2
MAR,Professional services,2023,39.18
MAR,Professional services,2024,15.66
MAR,Sales and marketing support,2017,165.61
MAR,Sales and marketing support,2018,304.74
MAR,Sales and marketing support,2019,222.95
MAR,Sales and marketing support,2020,82.75
MAR,Sales and marketing support,2021,111.99
MAR,Sales and marketing support,2022,86.49
MAR,Sales and marketing support,2023,6.36
MAR,Sales and marketing support,2024,6.43
MAR,Software development and technology,2017,201.96
MAR,Software development and technology,2018,280.15
MAR,Software development and technology,2019,228.53
MAR,Software development and technology,2020,482.72
MAR,Software development and technology,2021,570.79
MAR,Software development and technology,2022,980.28
MAR,Software development and technology,2023,853.46
MAR,Software development and technology,2024,963.73
MAR,Writing and translation,2017,110.15
MAR,Writing and translation,2018,202.33
MAR,Writing and translation,2019,279.84
MAR,Writing and translation,2020,133.44
MAR,Writing and translation,2021,49.28
MAR,Writing and translation,2022,100.41
MAR,Writing and translation,2023,64.37
MAR,Writing and translation,2024,37.74
MCO,Creative and multimedia,2022,0.35
MCO,Software development and technology,2022,0.71
MCO,Writing and translation,2022,0.35
MCO,Writing and translation,2023,0.19
MCO,Writing and translation,2024,0.27
MDA,Clerical and data entry,2017,27.58
MDA,Clerical and data entry,2018,24.18
MDA,Clerical and data entry,2019,25.42
MDA,Clerical and data entry,2020,5.99
MDA,Clerical and data entry,2021,15.4
MDA,Clerical and data entry,2022,10.31
MDA,Creative and multimedia,2017,87.89
MDA,Creative and multimedia,2018,89.06
MDA,Creative and multimedia,2019,97.84
MDA,Creative and multimedia,2020,217.43
MDA,Creative and multimedia,2021,215.07
MDA,Creative and multimedia,2022,137.89
MDA,Creative and multimedia,2023,105.68
MDA,Creative and multimedia,2024,124.22
MDA,Professional services,2017,58.16
MDA,Professional services,2018,56.79
MDA,Professional services,2019,23.71
MDA,Professional services,2020,12.24
MDA,Professional services,2022,0.11
MDA,Professional services,2023,0.11
MDA,Professional services,2024,0.12
MDA,Sales and marketing support,2017,47.91
MDA,Sales and marketing support,2018,45.31
MDA,Sales and marketing support,2019,23.27
MDA,Sales and marketing support,2020,1.99
MDA,Sales and marketing support,2021,8.62
MDA,Sales and marketing support,2022,8.49
MDA,Sales and marketing support,2023,1.8
MDA,Sales and marketing support,2024,0.43
MDA,Software development and technology,2017,85.04
MDA,Software development and technology,2018,80.01
MDA,Software development and technology,2019,274.68
MDA,Software development and technology,2020,336.94
MDA,Software development and technology,2021,410.77
MDA,Software development and technology,2022,612.79
MDA,Software development and technology,2023,426.76
MDA,Software development and technology,2024,606.34
MDA,Writing and translation,2017,13.84
MDA,Writing and translation,2019,22.68
MDA,Writing and translation,2020,54.55
MDA,Writing and translation,2021,19.49
MDA,Writing and translation,2022,20.11
MDA,Writing and translation,2023,12.36
MDA,Writing and translation,2024,5.89
MDG,Clerical and data entry,2017,7.08
MDG,Clerical and data entry,2020,12.74
MDG,Clerical and data entry,2021,5.82
MDG,Clerical and data entry,2022,7.07
MDG,Clerical and data entry,2023,6.55
MDG,Clerical and data entry,2024,3.63
MDG,Creative and multimedia,2018,20.8
MDG,Creative and multimedia,2019,18.14
MDG,Creative and multimedia,2020,19.58
MDG,Creative and multimedia,2021,99.77
MDG,Creative and multimedia,2022,5.66
MDG,Creative and multimedia,2023,8.89
MDG,Creative and multimedia,2024,12.2
MDG,Professional services,2020,0.4
MDG,Professional services,2024,0.19
MDG,Sales and marketing support,2020,29.06
MDG,Sales and marketing support,2021,14.25
MDG,Sales and marketing support,2022,4.51
MDG,Sales and marketing support,2023,1.25
MDG,Sales and marketing support,2024,0.12
MDG,Software development and technology,2017,32.96
MDG,Software development and technology,2018,40.13
MDG,Software development and technology,2019,6.62
MDG,Software development and technology,2020,25.8
MDG,Software development and technology,2021,12.24
MDG,Software development and technology,2022,6.99
MDG,Software development and technology,2023,12.22
MDG,Software development and technology,2024,10.02
MDG,Writing and translation,2017,13.84
MDG,Writing and translation,2018,19.45
MDG,Writing and translation,2019,42.93
MDG,Writing and translation,2020,4.75
MDG,Writing and translation,2021,4.72
MDG,Writing and translation,2022,14.95
MDG,Writing and translation,2023,7.45
MDG,Writing and translation,2024,8.96
MDV,Clerical and data entry,2020,8.46
MDV,Clerical and data entry,2021,8.98
MDV,Creative and multimedia,2018,20.31
MDV,Creative and multimedia,2019,61.91
MDV,Creative and multimedia,2020,51.46
MDV,Creative and multimedia,2021,10.18
MDV,Creative and multimedia,2023,67.5
MDV,Creative and multimedia,2024,75.35
MDV,Professional services,2017,9.39
MDV,Professional services,2018,17.98
MDV,Professional services,2019,23.19
MDV,Professional services,2020,2.2
MDV,Professional services,2023,0.13
MDV,Sales and marketing support,2019,15.37
MDV,Software development and technology,2018,47.18
MDV,Software development and technology,2019,32.63
MDV,Software development and technology,2020,2.38
MDV,Software development and technology,2022,0.67
MDV,Software development and technology,2023,0.18
MDV,Software development and technology,2024,0.11
MDV,Writing and translation,2019,17.19
MDV,Writing and translation,2020,5.21
MDV,Writing and translation,2022,0.73
MDV,Writing and translation,2023,0.18
MDV,Writing and translation,2024,0.21
MEX,Clerical and data entry,2017,17.4
MEX,Clerical and data entry,2019,11.48
MEX,Clerical and data entry,2020,12.34
MEX,Clerical and data entry,2021,59.65
MEX,Clerical and data entry,2022,83.42
MEX,Clerical and data entry,2023,23.53
MEX,Clerical and data entry,2024,12.38
MEX,Creative and multimedia,2017,142.84
MEX,Creative and multimedia,2018,86.88
MEX,Creative and multimedia,2019,309.13
MEX,Creative and multimedia,2020,725.36
MEX,Creative and multimedia,2021,1077.78
MEX,Creative and multimedia,2022,1618.38
MEX,Creative and multimedia,2023,1029.32
MEX,Creative and multimedia,2024,971.69
MEX,Professional services,2017,7.08
MEX,Professional services,2018,49.32
MEX,Professional services,2019,18.08
MEX,Professional services,2020,8.88
MEX,Professional services,2021,6.75
MEX,Professional services,2022,13.18
MEX,Professional services,2023,4.24
MEX,Professional services,2024,2.69
MEX,Sales and marketing support,2017,47.29
MEX,Sales and marketing support,2018,48.35
MEX,Sales and marketing support,2019,76.2
MEX,Sales and marketing support,2020,167.89
MEX,Sales and marketing support,2021,17.22
MEX,Sales and marketing support,2022,39.68
MEX,Sales and marketing support,2023,15.11
MEX,Sales and marketing support,2024,20.66
MEX,Software development and technology,2017,187.69
MEX,Software development and technology,2018,130.16
MEX,Software development and technology,2019,371.03
MEX,Software development and technology,2020,462.36
MEX,Software development and technology,2021,584.45
MEX,Software development and technology,2022,635.4
MEX,Software development and technology,2023,501.85
MEX,Software development and technology,2024,667.91
MEX,Writing and translation,2017,153.11
MEX,Writing and translation,2018,184.45
MEX,Writing and translation,2019,337.52
MEX,Writing and translation,2020,263.84
MEX,Writing and translation,2021,180.49
MEX,Writing and translation,2022,137.03
MEX,Writing and translation,2023,121.0
MEX,Writing and translation,2024,80.3
MKD,Clerical and data entry,2017,16.63
MKD,Clerical and data entry,2018,22.59
MKD,Clerical and data entry,2019,62.97
MKD,Clerical and data entry,2020,59.1
MKD,Clerical and data entry,2021,81.35
MKD,Clerical and data entry,2022,80.54
MKD,Clerical and data entry,2023,56.71
MKD,Clerical and data entry,2024,55.71
MKD,Creative and multimedia,2017,260.22
MKD,Creative and multimedia,2018,363.56
MKD,Creative and multimedia,2019,247.51
MKD,Creative and multimedia,2020,275.99
MKD,Creative and multimedia,2021,151.14
MKD,Creative and multimedia,2022,105.15
MKD,Creative and multimedia,2023,69.12
MKD,Creative and multimedia,2024,81.04
MKD,Professional services,2017,59.38
MKD,Professional services,2018,127.9
MKD,Professional services,2019,23.8
MKD,Professional services,2020,7.77
MKD,Professional services,2021,4.3
MKD,Professional services,2022,4.51
MKD,Professional services,2023,3.52
MKD,Professional services,2024,3.09
MKD,Sales and marketing support,2017,817.7
MKD,Sales and marketing support,2018,753.21
MKD,Sales and marketing support,2019,201.99
MKD,Sales and marketing support,2020,140.53
MKD,Sales and marketing support,2021,198.24
MKD,Sales and marketing support,2022,68.79
MKD,Sales and marketing support,2023,25.04
MKD,Sales and marketing support,2024,9.21
MKD,Software development and technology,2017,113.94
MKD,Software development and technology,2018,238.26
MKD,Software development and technology,2019,89.71
MKD,Software development and technology,2020,50.04
MKD,Software development and technology,2021,115.6
MKD,Software development and technology,2022,262.32
MKD,Software development and technology,2023,164.79
MKD,Software development and technology,2024,79.9
MKD,Writing and translation,2017,35.48
MKD,Writing and translation,2018,35.26
MKD,Writing and translation,2019,42.96
MKD,Writing and translation,2020,8.99
MKD,Writing and translation,2021,19.19
MKD,Writing and translation,2022,22.61
MKD,Writing and translation,2023,4.0
MKD,Writing and translation,2024,3.03
MLI,Creative and multimedia,2018,39.25
MLI,Creative and multimedia,2019,69.3
MLI,Creative and multimedia,2022,0.36
MLI,Creative and multimedia,2023,0.45
MLI,Professional services,2023,0.29
MLI,Professional services,2024,0.38
MLI,Sales and marketing support,2019,5.44
MLI,Sales and marketing support,2024,0.1
MLI,Software development and technology,2021,0.4
MLI,Software development and technology,2023,0.13
MLI,Writing and translation,2024,0.1
MLT,Clerical and data entry,2019,16.58
MLT,Clerical and data entry,2022,10.7
MLT,Clerical and data entry,2023,37.51
MLT,Creative and multimedia,2017,23.13
MLT,Creative and multimedia,2018,32.37
MLT,Creative and multimedia,2019,53.71
MLT,Creative and multimedia,2020,17.24
MLT,Creative and multimedia,2021,10.35
MLT,Creative and multimedia,2022,6.18
MLT,Creative and multimedia,2023,4.33
MLT,Creative and multimedia,2024,10.2
MLT,Professional services,2019,61.45
MLT,Professional services,2020,4.86
MLT,Professional services,2022,0.6
