area,occupation,year,workers
ARM,Software development and technology,2018,107.13
ARM,Software development and technology,2019,172.02
ARM,Software development and technology,2020,302.68
ARM,Software development and technology,2021,590.53
ARM,Software development and technology,2022,1078.93
ARM,Software development and technology,2023,369.12
ARM,Software development and technology,2024,197.43
ARM,Writing and translation,2019,14.2
ARM,Writing and translation,2020,14.72
ARM,Writing and translation,2021,12.57
ARM,Writing and translation,2022,16.57
ARM,Writing and translation,2023,0.92
ARM,Writing and translation,2024,0.79
ASM,Software development and technology,2019,36.32
ATG,Creative and multimedia,2023,0.17
ATG,Creative and multimedia,2024,0.1
AUS,Clerical and data entry,2017,14.5
AUS,Clerical and data entry,2018,43.36
AUS,Clerical and data entry,2019,77.24
AUS,Clerical and data entry,2020,80.0
AUS,Clerical and data entry,2021,145.5
AUS,Clerical and data entry,2022,101.82
AUS,Clerical and data entry,2023,18.93
AUS,Clerical and data entry,2024,73.48
AUS,Creative and multimedia,2017,246.77
AUS,Creative and multimedia,2018,281.94
AUS,Creative and multimedia,2019,721.74
AUS,Creative and multimedia,2020,1085.43
AUS,Creative and multimedia,2021,1202.04
AUS,Creative and multimedia,2022,1115.3
AUS,Creative and multimedia,2023,875.36
AUS,Creative and multimedia,2024,977.76
AUS,Professional services,2017,6.56
AUS,Professional services,2018,43.51
AUS,Professional services,2019,259.13
AUS,Professional services,2020,143.32
AUS,Professional services,2021,137.7
AUS,Professional services,2022,134.06
AUS,Professional services,2023,66.49
AUS,Professional services,2024,40.9
AUS,Sales and marketing support,2017,134.45
AUS,Sales and marketing support,2018,314.79
AUS,Sales and marketing support,2019,328.68
AUS,Sales and marketing support,2020,220.5
AUS,Sales and marketing support,2021,225.3
AUS,Sales and marketing support,2022,200.31
AUS,Sales and marketing support,2023,102.03
AUS,Sales and marketing support,2024,141.85
AUS,Software development and technology,2017,202.38
AUS,Software development and technology,2018,271.81
AUS,Software development and technology,2019,1086.53
AUS,Software development and technology,2020,1315.1
AUS,Software development and technology,2021,962.88
AUS,Software development and technology,2022,1077.09
AUS,Software development and technology,2023,494.85
AUS,Software development and technology,2024,871.03
AUS,Writing and translation,2017,110.52
AUS,Writing and translation,2018,277.53
AUS,Writing and translation,2019,876.3
AUS,Writing and translation,2020,1315.38
AUS,Writing and translation,2021,945.43
AUS,Writing and translation,2022,920.71
AUS,Writing and translation,2023,532.79
AUS,Writing and translation,2024,545.99
AUT,Clerical and data entry,2017,6.76
AUT,Clerical and data entry,2020,17.86
AUT,Clerical and data entry,2021,18.45
AUT,Clerical and data entry,2022,8.56
AUT,Clerical and data entry,2023,18.57
AUT,Clerical and data entry,2024,30.92
AUT,Creative and multimedia,2018,31.62
AUT,Creative and multimedia,2019,59.02
